9/26/2023 15:52:23,Rua José Calazans Luz,árvore,Acácia,Acacia retinodes Schltdl.,Exótica,"Conhecida como ""Acácia Mimosa"", produz flores amarelas perfumadas quase o ano todo e é uma das poucas acácias que não possui espinhos.",25 - 30 cm,Com podridão leve no tronco,adequado e sem vandalismo,tocando rede elétrica,"De 2,5 até 3,0 m",sem restrições,inadequado,destruição de calçada
10/6/2023 17:59:32,Rua  Prof. Jair Barth,árvore,Acácia,Acacia retinodes Schltdl.,Exótica,"Conhecida como ""Acácia Mimosa"", produz flores amarelas perfumadas quase o ano todo e é uma das poucas acácias que não possui espinhos.",25 - 30 cm,Com podridão leve no tronco,com machucados (cortes),balanceada,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),destruição de calçada
3/30/2024 16:07:58,Avenida João Barth,árvore,Acácia,Acacia retinodes Schltdl.,Exótica,"Conhecida como ""Acácia Mimosa"", produz flores amarelas perfumadas quase o ano todo e é uma das poucas acácias que não possui espinhos.",10 - 15 cm,saudável,"adequado e sem vandalismo, com machucados (cortes e rachaduras)",balanceada,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
3/30/2024 16:09:44,Avenida João Barth,árvore,Acácia,Acacia retinodes Schltdl.,Exótica,"Conhecida como ""Acácia Mimosa"", produz flores amarelas perfumadas quase o ano todo e é uma das poucas acácias que não possui espinhos.",20 - 25 cm,"saudável, presença de formigas","adequado e sem vandalismo, com machucados (cortes e rachaduras)",balanceada,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
3/30/2024 16:10:49,Avenida João Barth,árvore,Acácia,Acacia retinodes Schltdl.,Exótica,"Conhecida como ""Acácia Mimosa"", produz flores amarelas perfumadas quase o ano todo e é uma das poucas acácias que não possui espinhos.",10 - 15 cm,saudável,"adequado e sem vandalismo, com machucados (cortes e rachaduras)",balanceada,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
9/28/2023 16:39:30,Rua José Calazans Luz,árvore,Alfeneiro,Ligustrum lucidum W.T.Aiton,Exótica,"Chamado de ""Alfeneiro"", suas folhas são tão brilhantes que parecem ter sido enceradas, e seus frutos são tóxicos para humanos mas amados por pássaros.",30 - 35 cm,"Com podridão leve no tronco, com podridão em alguns galhos e/ou folhas",com machucados (cortes),"desbalanceada para o imóvel,  tocando rede elétrica","De 2,5 até 3,0 m",calçada soerguida (árvore),inadequado (menor que um metro quadrado),destruição de calçada
9/28/2023 16:43:25,Rua José Calazans Luz,árvore,Alfeneiro,Ligustrum lucidum W.T.Aiton,Exótica,"Chamado de ""Alfeneiro"", suas folhas são tão brilhantes que parecem ter sido enceradas, e seus frutos são tóxicos para humanos mas amados por pássaros.",30 - 35 cm,"com podridão severa de tronco, com podridão em alguns galhos e/ou folhas",com machucados (cortes),"Desbalanço lateral,  tocando rede elétrica","De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
10/6/2023 18:19:53,Rua  Prof. Jair Barth,árvore,Alfeneiro,Ligustrum lucidum W.T.Aiton,Exótica,"Chamado de ""Alfeneiro"", suas folhas são tão brilhantes que parecem ter sido enceradas, e seus frutos são tóxicos para humanos mas amados por pássaros.",Acima de 40 cm ,"Com podridão leve no tronco, com podridão em alguns galhos e/ou folhas",adequado e sem vandalismo,desbalanceada para a rua,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),"raiz exposta,  destruição de calçada"
10/8/2023 15:20:37,Rua Francisco Rodrigues Júnior,árvore,Alfeneiro,Ligustrum lucidum W.T.Aiton,Exótica,"Chamado de ""Alfeneiro"", suas folhas são tão brilhantes que parecem ter sido enceradas, e seus frutos são tóxicos para humanos mas amados por pássaros.",35 - 40 cm,"com podridão severa de tronco, com podridão em alguns galhos e/ou folhas, presença de formigas",com machucados (cortes e rachaduras),"balanceada,  com bromélias","De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),"raiz exposta,  destruição de calçada"
10/8/2023 15:27:40,Rua Francisco Rodrigues Júnior,árvore,Alfeneiro,Ligustrum lucidum W.T.Aiton,Exótica,"Chamado de ""Alfeneiro"", suas folhas são tão brilhantes que parecem ter sido enceradas, e seus frutos são tóxicos para humanos mas amados por pássaros.",Mais de 1 metro,"Com podridão leve no tronco, com podridão em alguns galhos e/ou folhas",com machucados (cortes e rachaduras),"balanceada,  com bromélias","De 2,5 até 3,0 m",calçada soerguida (árvore),ausente (colo soterrado),"raiz exposta,  destruição de calçada,  destruição de pavimento asfáltico"
9/26/2023 16:23:08,Rua José Calazans Luz,árvore,Amoreira,Morus nigra L.,Exótica,"A ""Amoreira-negra"" produz frutos que mancham intensamente, sendo usados como corante natural desde a antiguidade.",0 - 5 cm,saudável,adequado e sem vandalismo,desbalanceada para a rua,"De 2,5 até 3,0 m",sem restrições,ausente,Normal
10/6/2023 18:03:23,Rua  Prof. Jair Barth,árvore,Amoreira,Morus nigra L.,Exótica,"A ""Amoreira-negra"" produz frutos que mancham intensamente, sendo usados como corante natural desde a antiguidade.",5 - 10 cm,saudável,adequado e sem vandalismo,balanceada,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
10/7/2023 11:01:35,Rua Vicente Eugênio Piedade,árvore,Amoreira,Morus nigra L.,Exótica,"A ""Amoreira-negra"" produz frutos que mancham intensamente, sendo usados como corante natural desde a antiguidade.",5 - 10 cm,saudável,adequado e sem vandalismo,Desbalanço lateral,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
10/15/2023 17:02:17,Rua Laura Calazans Luz de Moura,árvore,Amoreira,Morus nigra L.,Exótica,"A ""Amoreira-negra"" produz frutos que mancham intensamente, sendo usados como corante natural desde a antiguidade.",25 - 30 cm,Com podridão leve no tronco,"com machucados (cortes e rachaduras), com gravuras e letras","desbalanceada para a rua,  tocando rede elétrica,  atrapalhando visão do trânsito","De 2,0  até 2,5 m","sem restrições, calçada com desnível (urbanismo)",inadequado (menor que um metro quadrado),destruição de calçada
10/20/2023 8:46:36,Rua Laura Calazans Luz de Moura,árvore,Angico branco,Anadenanthera colubrina (Vell.) Brenan,Nativa," Conhecida como ""Angico-branco"", sua casca contém taninos usados no curtimento de couro e suas sementes eram usadas em rituais indígenas.",10 - 15 cm,saudável,adequado e sem vandalismo,balanceada,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
10/7/2023 12:09:03,Rua Vicente Eugênio Piedade,árvore,Aroeira salsa,Schinus molle L.,Nativa,"A ""Aroeira-salsa"" produz a pimenta-rosa, que não é pimenta verdadeira, mas um condimento aromático muito valorizado na gastronomia.",Acima de 40 cm ,Com podridão leve no tronco,adequado e sem vandalismo,desbalanceada para a rua,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),destruição de calçada
3/30/2024 16:51:53,Avenida João Barth,árvore,Aroeira salsa,Schinus molle L.,Nativa,"A ""Aroeira-salsa"" produz a pimenta-rosa, que não é pimenta verdadeira, mas um condimento aromático muito valorizado na gastronomia.",20 - 25 cm,saudável,adequado e sem vandalismo,balanceada,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
10/23/2023 0:52:12,Rua Vicente Eugênio Piedade,árvore,Canelinha do brejo,Costus spicatus (Jacq.) Sw.,Nativa,"Chamada de ""Canelinha-do-brejo"", suas flores vermelhas brilhantes são polinizadas por beija-flores e suas folhas eram usadas como anti-inflamatório.",Acima de 40 cm ,Com podridão mediana no tronco,adequado e sem vandalismo,desbalanceada para o imóvel,"De 2,5 até 3,0 m",sem restrições,inadequado (menor que um metro quadrado),destruição de calçada
10/23/2023 0:54:02,Rua Vicente Eugênio Piedade,árvore,Canelinha do brejo,Costus spicatus (Jacq.) Sw.,Nativa,"Chamada de ""Canelinha-do-brejo"", suas flores vermelhas brilhantes são polinizadas por beija-flores e suas folhas eram usadas como anti-inflamatório.",Acima de 40 cm,saudável,adequado e sem vandalismo,balanceada,"De 2,5 até 3,0 m",calçada soerguida (árvore),inadequado (menor que um metro quadrado),"raiz exposta,  destruição de calçada"
10/6/2023 17:34:37,Rua  Prof. Jair Barth,árvore,Cerejeira do mato,Eugenia involucrata DC.,Nativa,"A ""Cerejeira-do-mato"" produz frutos que mudam do verde ao vermelho-púrpura quando maduros, muito apreciados por pássaros.",10 - 15 cm,saudável,adequado e sem vandalismo,desbalanceada para a rua,"De 2,5 até 3,0 m",sem restrições,adequado (ao menos metro quadrado ),Normal
3/30/2024 15:52:05,Avenida João Barth,árvore,Cerejeira do mato (do Rio Grande),Eugenia involucrata DC.,Nativa,"A ""Cerejeira-do-mato"" produz frutos que mudam do verde ao vermelho-púrpura quando maduros, muito apreciados por pássaros.",0 - 5 cm,saudável,adequado e sem vandalismo,Muda nova ,"Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
3/30/2024 16:35:41,Avenida João Barth,árvore,Cerejeira do mato (do Rio Grande),Eugenia involucrata DC.,Nativa,"A ""Cerejeira-do-mato"" produz frutos que mudam do verde ao vermelho-púrpura quando maduros, muito apreciados por pássaros.",Acima de 40 cm ,com podridão em alguns galhos e/ou folhas,adequado e sem vandalismo,"balanceada,  com unha de gato ","Acima de 3,0 m",sem restrições,inadequado (menor que um metro quadrado),Normal
